,,1985,1985,1990,1990,1995,1995,2000,2000,2005,2005,2010,2010,2015,2015,2020,2020
,,계,미혼,계,미혼,계,미혼,계,미혼,계,미혼,계,미혼,계,미혼,계,미혼
전체,20~24세,4245090,3548826,4396309,3903892,4304378,3876203,3848186,3598808,3662123,3516785,3055420,2979443,3380576,3309507,3193316,3148848
전체,25~29세,4070408,1404122,4333500,1718045,4137913,1947586,4096978,2278879,3671847,2591335,3538949,2743190,3024909,2539393,3423231,2991167
전체,30~34세,3115238,214469,4207714,407860,4230239,557047,4093228,797870,4096282,1237923,3695348,1469486,3607875,1693003,3032832,1710284
전체,35~39세,2581181,55653,3201210,99612,4133864,206369,4186953,313708,4112785,535108,4099147,806770,3774150,988968,3594213,1104943
