시점,시도별,농축수산물,공업제품,전기 · 가스 · 수도,집세,공공서비스,개인서비스,출산율
2019,　　　전라북도,92.838,100.596,101.262,100.189,101.985,98.829,0.92
2020,　　　전라북도,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　전라북도,108.21,102.61,97.84,100.26,101.39,102.43,0.81
2022,　　　전라북도,111.27,110.14,109.38,100.94,102.85,107.68,0.78
2012,　　　전라남도,83.08,97.84,112.694,93.129,97.128,85.276,1.3
2013,　　　전라남도,83.136,98.682,117.242,95.44,98.208,86.99,1.19
2014,　　　전라남도,81.657,99.655,121.144,96.583,99.179,88.347,1.21
2015,　　　전라남도,82.107,98.188,114.252,97.125,99.98,89.966,1.24
2016,　　　전라남도,86.316,97.404,106.374,97.432,101.39,92.443,1.17
2017,　　　전라남도,90.298,99.172,103.209,98.117,103.487,94.762,1.05
2018,　　　전라남도,93.213,100.604,100.039,98.924,103.435,96.992,0.98
2019,　　　전라남도,93.08,100.384,100.924,99.743,102.009,98.773,0.92
2020,　　　전라남도,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　전라남도,107.15,102.62,98.27,100.58,101.18,102.53,0.81
2022,　　　전라남도,110.67,110.82,110.03,101.77,101.87,108.11,0.78
2012,　　　경상북도,85.386,98.089,112.596,98.775,98.342,86.522,1.3
2013,　　　경상북도,84.764,98.744,116.751,100.888,98.987,88.248,1.19
2014,　　　경상북도,83.526,99.674,121.711,102.246,99.677,89.471,1.21
2015,　　　경상북도,84.822,98.476,113.95,102.929,100.38,91.041,1.24
2016,　　　경상북도,88.068,97.555,104.061,103.391,102.036,93.51,1.17
2017,　　　경상북도,91.882,99.408,102.374,103.105,102.82,95.683,1.05
2018,　　　경상북도,96.614,101.046,99.531,102.126,102.842,97.458,0.98
2019,　　　경상북도,94.227,100.675,101.171,100.771,102.018,99.372,0.92
2020,　　　경상북도,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　경상북도,108.32,102.89,98.05,100.43,101.04,102.42,0.81
2022,　　　경상북도,113.16,111.27,110.24,101.3,101.76,108.13,0.78
2012,　　　경상남도,86.454,97.418,112.21,99.341,95.266,84.988,1.3
2013,　　　경상남도,85.369,98.2,116.863,101.756,96.455,86.659,1.19
2014,　　　경상남도,83.376,99.437,121.295,103.188,97.678,88.48,1.21
2015,　　　경상남도,84.132,98.485,113.961,103.852,98.747,91.017,1.24
2016,　　　경상남도,87.422,97.764,104.659,104.251,100.581,93.603,1.17
2017,　　　경상남도,90.649,99.183,103.108,104.515,101.602,95.543,1.05
2018,　　　경상남도,94.758,100.624,100.035,103.154,102.043,97.32,0.98
2019,　　　경상남도,93.736,100.369,101.271,101.233,101.343,98.623,0.92
2020,　　　경상남도,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　경상남도,107.7,102.61,98.26,100.42,100.82,102.44,0.81
2022,　　　경상남도,111.44,110.36,110.01,101.96,101.74,107.61,0.78
2012,　　　제주특별자치도,80.846,97.885,103.764,89.911,95.459,85.035,1.3
2013,　　　제주특별자치도,81.691,98.537,107.793,92.859,95.95,86.907,1.19
2014,　　　제주특별자치도,80.077,99.423,110.227,94.248,97.238,88.531,1.21
2015,　　　제주특별자치도,82.651,98.529,109.038,95.558,98.904,89.766,1.24
2016,　　　제주특별자치도,86.327,97.826,104.825,97.91,99.721,92.541,1.17
2017,　　　제주특별자치도,89.997,99.704,101.256,100.147,100.757,95.365,1.05
2018,　　　제주특별자치도,94.969,101.055,99.231,100.625,100.639,97.601,0.98
2019,　　　제주특별자치도,94.868,100.738,99.392,100.387,100.001,99.235,0.92
2020,　　　제주특별자치도,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　제주특별자치도,108.94,103.16,99.36,100.01,100.71,101.95,0.81
2022,　　　제주특별자치도,114.18,111.43,109.41,101.01,101.81,108.67,0.78
