연도,구별,1,2,3,4
2020,동작구B,0.165100589,0.146464896,0.149959089,0.133652858
2020,마포구B,0.144733368,0.139983431,0.146689224,0.13160119
2020,서대문구B,0.150867215,0.144716753,0.14218421,0.116858778
2020,서초구B,0.163177456,0.153737438,0.146724853,0.139981983
2020,성동구B,0.210413709,0.193501953,0.191535469,0.169510857
2020,성북구B,0.149008697,0.136349551,0.12791012,0.125009066
2020,송파구B,0.166008026,0.173159141,0.155962412,0.150343679
2020,양천구B,0.124155111,0.121485109,0.135636121,0.119349107
2020,영등포구B,0.18649396,0.168336957,0.185570722,0.166182736
2020,용산구B,0.16445327,0.156696041,0.149973108,0.137044392
2020,은평구B,0.150289091,0.133280021,0.135818688,0.12490242
2020,종로구B,0.123766023,0.117030457,0.11450462,0.090088194
2020,중구B,0.180043405,0.166418499,0.185882651,0.139168686
2020,중랑구B,0.155777617,0.153834445,0.149624239,0.147357205
2021,강남구B,0.129820304,0.114989839,0.124017079,0.104887928
2021,강동구B,0.19192264,0.19086812,0.19429531,0.16371423
2021,강북구B,0.119762109,0.118401176,0.111142866,0.101616335
2021,강서구B,0.172728697,0.160235117,0.137429377,0.12572904
2021,관악구B,0.098248023,0.104797891,0.093505015,0.088987865
2021,광진구B,0.126777289,0.133838303,0.115864814,0.099817056
2021,구로구B,0.184297362,0.180843749,0.182099608,0.152586913
2021,금천구B,0.155046431,0.143500421,0.13855213,0.119308779
2021,노원구B,0.144974696,0.136718181,0.142060632,0.11656257
2021,도봉구B,0.113152475,0.135868692,0.134582868,0.103294494
2021,동대문구B,0.146411331,0.151362439,0.13969197,0.123070394
2021,동작구B,0.155482632,0.135449292,0.131861232,0.12468511
2021,마포구B,0.146367703,0.13985618,0.139006851,0.129381122
2021,서대문구B,0.140366293,0.1358984,0.138504671,0.116165208
2021,서초구B,0.165445387,0.147062567,0.1657282,0.13348756
2021,성동구B,0.208358968,0.192773061,0.180058242,0.170624667
2021,성북구B,0.140255113,0.137276722,0.131590704,0.115886464
2021,송파구B,0.159941302,0.16504394,0.14938412,0.13601169
2021,양천구B,0.138619543,0.135569913,0.12143072,0.110895635
2021,영등포구B,0.203808402,0.184835247,0.187283396,0.159129683
2021,용산구B,0.188117176,0.155076766,0.163070413,0.151346397
2021,은평구B,0.148707613,0.140098225,0.129923494,0.122879449
2021,종로구B,0.136639195,0.125396729,0.100317383,0.094263748
2021,중구B,0.166956522,0.13515528,0.168944099,0.152049689
2021,중랑구B,0.158817096,0.160814795,0.1468309,0.141170752
