구별,2019
종로구,0.648
중구,0.78
용산구,0.713
성동구,0.855
광진구,0.652
동대문구,0.765
중랑구,0.777
성북구,0.707
강북구,0.617
도봉구,0.697
노원구,0.776
은평구,0.697
서대문구,0.685
마포구,0.681
양천구,0.742
강서구,0.76
구로구,0.794
금천구,0.709
영등포구,0.829
동작구,0.697
관악구,0.536
서초구,0.715
강남구,0.612
송파구,0.77
강동구,0.758
