시점,시도별,분유,이유식,TV,영상음향기기,휴대용멀티미디어기기,악기,유아동복,유아용학습교재,초등학교학습서,중학교학습서,고등학교학습서,아동화,장난감,반려동물용품,종이문구,기타문구,필기구,회화용구,유모차,유치원납입금,보육시설이용료,요양시설이용료,반려동물관리비,노래방이용료,놀이시설이용료,운동경기관람료,영화관람료,공연예술관람료,관람시설이용료,문화강습료,온라인콘텐츠이용료,초등학생학원비,중학생학원비,고등학생학원비,음악학원비,미술학원비,운동학원비,전산학원비,가정학습지,이러닝이용료,학교보충교육비,외국어학원비,운동강습료,미용료,뷰티미용료,산후조리원이용료,출산율
2022,　　　서울특별시,101.97,100.15,96.03,99.25,100.51,104.63,102.73,100.32,105.16,101.28,106.8,100.53,99.58,106.72,103.27,114.17,102.21,102.11,101.88,81.5,98.72,104.85,103.01,113.39,107.09,100.89,125.32,101.39,111.51,106.94,103.13,104.87,103.79,103.82,107.97,108.14,107.62,102.68,103.73,110.01,104.56,108.07,101.91,105.27,104.51,105.24,0.78
2012,　　　부산광역시,95.729,95.64,213.119,98.78,102.18,97.066,89.762,89.448,76.668,85.463,91.137,93.95,91.274,89.787,93.646,80.545,98.792,79.89,98.561,105.634,139.823,72.77,90.963,87.252,84.503,77.621,77.371,56.699,80.927,83.033,92.749,83.592,79.943,79.243,77.027,82.757,78.955,84.323,94.766,106.47,96.316,80.325,93.284,84.467,79.843,94.357,1.3
2013,　　　부산광역시,96.046,96.194,206.896,109.534,97.274,96.868,94.37,91.265,77.671,89.629,91.119,93.95,90.654,97.172,94.467,82.796,98.574,80.524,95.599,83.699,107.613,74.763,91.188,89.89,86.198,78.669,80.027,56.699,82.882,82.379,94.599,86.05,83.145,83.782,79.402,84.584,82.549,87.795,96.371,108.184,94.997,82.789,95.532,91.081,83.615,96.216,1.19
2014,　　　부산광역시,101.567,96.559,183.49,108.373,95.185,95.096,96.559,91.465,79.98,93.451,91.119,93.95,92.473,97.536,96.794,89.854,99.368,82.405,94.114,85.208,115.978,77.335,92.487,93.002,88.399,79.639,84.651,83.001,85.584,85.892,94.442,88.551,85.724,86.782,83.219,88.665,84.696,87.795,96.231,108.184,97.591,85.519,95.316,91.795,89.62,94.334,1.21
2015,　　　부산광역시,104.549,98.969,157.692,108.959,88.127,94.441,97.731,95.359,86.986,93.923,91.216,93.95,94.203,98.774,97.093,90.898,101.987,84.695,94.537,95.694,123.548,79.777,93.239,93.563,90.599,84.253,85.462,83.001,87.736,89.1,94.442,89.295,90.47,89.276,85.089,91.577,85.955,90.017,95.129,109.348,94.936,86.697,95.686,93.803,91.764,95.298,1.24
2016,　　　부산광역시,99.943,97.386,143.824,107.914,91.959,94.295,99.661,95.855,88.343,93.923,92.789,93.95,98.624,102.189,96.985,91.591,102.437,85.258,98.053,99.37,129.915,81.117,93.786,90.12,92.932,79.914,87.74,83.001,89.177,89.519,97.979,93.583,93.456,93.549,89.289,94.27,89.425,92.124,96.66,111.252,93.435,88.685,96.048,93.562,91.863,93.351,1.17
2017,　　　부산광역시,95.921,98.899,131.35,103.082,97.07,97.428,103.057,98.334,91.743,93.923,94.256,93.31,99.053,101.25,98.431,93.661,102.352,85.226,105.31,101.791,134.4,84.348,95.238,94.177,93.72,90.58,88.453,94.523,93.276,91.251,98.749,93.833,94.427,94.6,93.583,94.496,91.807,92.124,96.709,111.252,93.435,91.06,96.048,96.323,91.348,91.74,1.05
2018,　　　부산광역시,91.452,91.736,117.371,100.024,101.444,100.263,103.453,98.334,95.856,95.232,95.986,94.091,99.686,98.174,98.896,96.635,103.058,85.115,106.535,104.745,137.299,92.126,96.117,98.048,97.517,92.997,94.999,101.278,97.621,94.813,98.749,96.993,95.8,95.485,95.912,95.481,97.071,94.265,97.091,111.252,93.665,92.632,97.558,96.933,99.099,89.117,0.98
2019,　　　부산광역시,93.562,97.821,108.932,99.666,102.703,101.306,101.979,98.358,98.506,99.774,98.609,97.538,99.491,98.629,98.847,97.493,103.732,91.073,104.484,105.724,105.673,97.607,98.228,100.0,100.125,95.089,97.437,100.0,99.18,99.365,99.987,98.172,99.216,99.277,98.536,96.483,98.857,97.429,100.0,120.623,97.763,96.472,99.737,99.3,99.978,96.063,0.92
2020,　　　부산광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
