"시군구별(1)","시군구별(2)",시점,계 (명)
"충청북도","청주시",2017.11,0
"충청북도","청주시",2017.12,0
"충청북도","청주시",2018.01,0
"충청북도","청주시",2018.02,0
"충청북도","청주시",2018.03,0
"충청북도","청주시",2018.04,0
"충청북도","청주시",2018.05,0
"충청북도","청주시",2018.06,0
"충청북도","청주시",2018.07,0
"충청북도","청주시",2018.08,0
"충청북도","청주시",2018.09,0
"충청북도","청주시",2018.10,0
"충청북도","청주시",2018.11,0
"충청북도","청주시",2018.12,0
"충청북도","청주시",2019.01,0
"충청북도","청주시",2019.02,0
"충청북도","청주시",2019.03,0
"충청북도","청주시",2019.04,0
"충청북도","청주시",2019.05,0
"충청북도","청주시",2019.06,0
"충청북도","청주시",2019.07,0
"충청북도","청주시",2019.08,0
"충청북도","청주시",2019.09,0
"충청북도","청주시",2019.10,0
"충청북도","청주시",2019.11,0
"충청북도","청주시",2019.12,0
"충청북도","청주시",2020.01,0
"충청북도","청주시",2020.02,0
"충청북도","청주시",2020.03,0
"충청북도","청주시",2020.04,0
"충청북도","청주시",2020.05,0
"충청북도","청주시",2020.06,0
"충청북도","청주시",2020.07,0
"충청북도","청주시",2020.08,0
"충청북도","청주시",2020.09,0
"충청북도","청주시",2020.10,0
"충청북도","청주시",2020.11,0
"충청북도","청주시",2020.12,0
"충청북도","청주시",2021.01,0
"충청북도","청주시",2021.02,0
"충청북도","청주시",2021.03,0
"충청북도","청주시",2021.04,0
"충청북도","청주시",2021.05,0
"충청북도","청주시",2021.06,0
"충청북도","청주시",2021.07,0
"충청북도","청주시",2021.08,0
"충청북도","청주시",2021.09,0
"충청북도","청주시",2021.10,0
"충청북도","청주시",2021.11,0
"충청북도","청주시",2021.12,0
"충청북도","상당구",2012.01,229
"충청북도","상당구",2012.02,190
"충청북도","상당구",2012.03,188
"충청북도","상당구",2012.04,185
"충청북도","상당구",2012.05,192
"충청북도","상당구",2012.06,183
"충청북도","상당구",2012.07,212
"충청북도","상당구",2012.08,183
"충청북도","상당구",2012.09,197
"충청북도","상당구",2012.10,212
"충청북도","상당구",2012.11,143
"충청북도","상당구",2012.12,141
"충청북도","상당구",2013.01,194
"충청북도","상당구",2013.02,188
"충청북도","상당구",2013.03,201
"충청북도","상당구",2013.04,178
"충청북도","상당구",2013.05,159
"충청북도","상당구",2013.06,147
"충청북도","상당구",2013.07,192
"충청북도","상당구",2013.08,181
"충청북도","상당구",2013.09,176
"충청북도","상당구",2013.10,183
"충청북도","상당구",2013.11,194
"충청북도","상당구",2013.12,159
"충청북도","상당구",2014.01,0
"충청북도","상당구",2014.02,0
"충청북도","상당구",2014.03,0
"충청북도","상당구",2014.04,0
"충청북도","상당구",2014.05,0
"충청북도","상당구",2014.06,0
"충청북도","상당구",2014.07,0
"충청북도","상당구",2014.08,0
"충청북도","상당구",2014.09,0
"충청북도","상당구",2014.10,0
"충청북도","상당구",2014.11,0
"충청북도","상당구",2014.12,0
"충청북도","상당구",2015.01,0
"충청북도","상당구",2015.02,0
"충청북도","상당구",2015.03,0
"충청북도","상당구",2015.04,0
"충청북도","상당구",2015.05,0
"충청북도","상당구",2015.06,0
"충청북도","상당구",2015.07,0
"충청북도","상당구",2015.08,0
"충청북도","상당구",2015.09,0
"충청북도","상당구",2015.10,0
"충청북도","상당구",2015.11,0
"충청북도","상당구",2015.12,0
"충청북도","상당구",2016.01,0
"충청북도","상당구",2016.02,0
"충청북도","상당구",2016.03,0
"충청북도","상당구",2016.04,0
"충청북도","상당구",2016.05,0
"충청북도","상당구",2016.06,0
"충청북도","상당구",2016.07,0
"충청북도","상당구",2016.08,0
"충청북도","상당구",2016.09,0
"충청북도","상당구",2016.10,0
"충청북도","상당구",2016.11,0
"충청북도","상당구",2016.12,0
"충청북도","상당구",2017.01,0
"충청북도","상당구",2017.02,0
"충청북도","상당구",2017.03,0
"충청북도","상당구",2017.04,0
"충청북도","상당구",2017.05,0
"충청북도","상당구",2017.06,0
"충청북도","상당구",2017.07,0
"충청북도","상당구",2017.08,0
"충청북도","상당구",2017.09,0
"충청북도","상당구",2017.10,0
"충청북도","상당구",2017.11,0
"충청북도","상당구",2017.12,0
"충청북도","상당구",2018.01,0
"충청북도","상당구",2018.02,0
"충청북도","상당구",2018.03,0
"충청북도","상당구",2018.04,0
"충청북도","상당구",2018.05,0
"충청북도","상당구",2018.06,0
"충청북도","상당구",2018.07,0
"충청북도","상당구",2018.08,0
"충청북도","상당구",2018.09,0
"충청북도","상당구",2018.10,0
"충청북도","상당구",2018.11,0
"충청북도","상당구",2018.12,0
"충청북도","상당구",2019.01,0
"충청북도","상당구",2019.02,0
"충청북도","상당구",2019.03,0
"충청북도","상당구",2019.04,0
"충청북도","상당구",2019.05,0
"충청북도","상당구",2019.06,0
"충청북도","상당구",2019.07,0
"충청북도","상당구",2019.08,0
"충청북도","상당구",2019.09,0
"충청북도","상당구",2019.10,0
"충청북도","상당구",2019.11,0
"충청북도","상당구",2019.12,0
"충청북도","상당구",2020.01,0
"충청북도","상당구",2020.02,0
"충청북도","상당구",2020.03,0
"충청북도","상당구",2020.04,0
"충청북도","상당구",2020.05,0
"충청북도","상당구",2020.06,0
"충청북도","상당구",2020.07,0
"충청북도","상당구",2020.08,0
"충청북도","상당구",2020.09,0
"충청북도","상당구",2020.10,0
"충청북도","상당구",2020.11,0
"충청북도","상당구",2020.12,0
"충청북도","상당구",2021.01,0
"충청북도","상당구",2021.02,0
"충청북도","상당구",2021.03,0
"충청북도","상당구",2021.04,0
"충청북도","상당구",2021.05,0
"충청북도","상당구",2021.06,0
"충청북도","상당구",2021.07,0
"충청북도","상당구",2021.08,0
"충청북도","상당구",2021.09,0
"충청북도","상당구",2021.10,0
"충청북도","상당구",2021.11,0
"충청북도","상당구",2021.12,0
"충청북도","흥덕구",2012.01,480
"충청북도","흥덕구",2012.02,424
"충청북도","흥덕구",2012.03,488
"충청북도","흥덕구",2012.04,433
"충청북도","흥덕구",2012.05,436
"충청북도","흥덕구",2012.06,421
"충청북도","흥덕구",2012.07,429
"충청북도","흥덕구",2012.08,458
"충청북도","흥덕구",2012.09,440
"충청북도","흥덕구",2012.10,437
"충청북도","흥덕구",2012.11,433
"충청북도","흥덕구",2012.12,347
"충청북도","흥덕구",2013.01,453
"충청북도","흥덕구",2013.02,398
"충청북도","흥덕구",2013.03,385
"충청북도","흥덕구",2013.04,400
"충청북도","흥덕구",2013.05,357
"충청북도","흥덕구",2013.06,375
"충청북도","흥덕구",2013.07,422
"충청북도","흥덕구",2013.08,353
"충청북도","흥덕구",2013.09,390
"충청북도","흥덕구",2013.10,356
"충청북도","흥덕구",2013.11,360
"충청북도","흥덕구",2013.12,327
"충청북도","흥덕구",2014.01,0
"충청북도","흥덕구",2014.02,0
"충청북도","흥덕구",2014.03,0
"충청북도","흥덕구",2014.04,0
"충청북도","흥덕구",2014.05,0
"충청북도","흥덕구",2014.06,0
"충청북도","흥덕구",2014.07,0
"충청북도","흥덕구",2014.08,0
"충청북도","흥덕구",2014.09,0
"충청북도","흥덕구",2014.10,0
"충청북도","흥덕구",2014.11,0
"충청북도","흥덕구",2014.12,0
"충청북도","흥덕구",2015.01,0
"충청북도","흥덕구",2015.02,0
"충청북도","흥덕구",2015.03,0
"충청북도","흥덕구",2015.04,0
"충청북도","흥덕구",2015.05,0
"충청북도","흥덕구",2015.06,0
"충청북도","흥덕구",2015.07,0
"충청북도","흥덕구",2015.08,0
"충청북도","흥덕구",2015.09,0
"충청북도","흥덕구",2015.10,0
"충청북도","흥덕구",2015.11,0
"충청북도","흥덕구",2015.12,0
"충청북도","흥덕구",2016.01,0
"충청북도","흥덕구",2016.02,0
"충청북도","흥덕구",2016.03,0
"충청북도","흥덕구",2016.04,0
"충청북도","흥덕구",2016.05,0
"충청북도","흥덕구",2016.06,0
"충청북도","흥덕구",2016.07,0
"충청북도","흥덕구",2016.08,0
"충청북도","흥덕구",2016.09,0
"충청북도","흥덕구",2016.10,0
"충청북도","흥덕구",2016.11,0
"충청북도","흥덕구",2016.12,0
"충청북도","흥덕구",2017.01,0
"충청북도","흥덕구",2017.02,0
"충청북도","흥덕구",2017.03,0
"충청북도","흥덕구",2017.04,0
"충청북도","흥덕구",2017.05,0
"충청북도","흥덕구",2017.06,0
"충청북도","흥덕구",2017.07,0
"충청북도","흥덕구",2017.08,0
"충청북도","흥덕구",2017.09,0
"충청북도","흥덕구",2017.10,0
"충청북도","흥덕구",2017.11,0
"충청북도","흥덕구",2017.12,0
"충청북도","흥덕구",2018.01,0
"충청북도","흥덕구",2018.02,0
"충청북도","흥덕구",2018.03,0
"충청북도","흥덕구",2018.04,0
"충청북도","흥덕구",2018.05,0
"충청북도","흥덕구",2018.06,0
"충청북도","흥덕구",2018.07,0
"충청북도","흥덕구",2018.08,0
"충청북도","흥덕구",2018.09,0
"충청북도","흥덕구",2018.10,0
"충청북도","흥덕구",2018.11,0
"충청북도","흥덕구",2018.12,0
"충청북도","흥덕구",2019.01,0
"충청북도","흥덕구",2019.02,0
"충청북도","흥덕구",2019.03,0
"충청북도","흥덕구",2019.04,0
"충청북도","흥덕구",2019.05,0
"충청북도","흥덕구",2019.06,0
"충청북도","흥덕구",2019.07,0
"충청북도","흥덕구",2019.08,0
"충청북도","흥덕구",2019.09,0
"충청북도","흥덕구",2019.10,0
"충청북도","흥덕구",2019.11,0
"충청북도","흥덕구",2019.12,0
"충청북도","흥덕구",2020.01,0
"충청북도","흥덕구",2020.02,0
"충청북도","흥덕구",2020.03,0
"충청북도","흥덕구",2020.04,0
"충청북도","흥덕구",2020.05,0
"충청북도","흥덕구",2020.06,0
"충청북도","흥덕구",2020.07,0
"충청북도","흥덕구",2020.08,0
"충청북도","흥덕구",2020.09,0
"충청북도","흥덕구",2020.10,0
"충청북도","흥덕구",2020.11,0
"충청북도","흥덕구",2020.12,0
"충청북도","흥덕구",2021.01,0
"충청북도","흥덕구",2021.02,0
"충청북도","흥덕구",2021.03,0
"충청북도","흥덕구",2021.04,0
"충청북도","흥덕구",2021.05,0
"충청북도","흥덕구",2021.06,0
"충청북도","흥덕구",2021.07,0
"충청북도","흥덕구",2021.08,0
"충청북도","흥덕구",2021.09,0
"충청북도","흥덕구",2021.10,0
"충청북도","흥덕구",2021.11,0
"충청북도","흥덕구",2021.12,0
"충청북도","충주시",2012.01,139
"충청북도","충주시",2012.02,127
"충청북도","충주시",2012.03,135
"충청북도","충주시",2012.04,128
"충청북도","충주시",2012.05,118
"충청북도","충주시",2012.06,125
"충청북도","충주시",2012.07,149
"충청북도","충주시",2012.08,144
"충청북도","충주시",2012.09,140
"충청북도","충주시",2012.10,160
"충청북도","충주시",2012.11,107
"충청북도","충주시",2012.12,124
"충청북도","충주시",2013.01,138
"충청북도","충주시",2013.02,133
"충청북도","충주시",2013.03,145
"충청북도","충주시",2013.04,134
"충청북도","충주시",2013.05,111
"충청북도","충주시",2013.06,107
"충청북도","충주시",2013.07,109
"충청북도","충주시",2013.08,140
"충청북도","충주시",2013.09,135
"충청북도","충주시",2013.10,121
"충청북도","충주시",2013.11,107
"충청북도","충주시",2013.12,106
"충청북도","충주시",2014.01,149
"충청북도","충주시",2014.02,136
"충청북도","충주시",2014.03,121
"충청북도","충주시",2014.04,112
"충청북도","충주시",2014.05,115
"충청북도","충주시",2014.06,127
"충청북도","충주시",2014.07,123
"충청북도","충주시",2014.08,125
"충청북도","충주시",2014.09,113
"충청북도","충주시",2014.10,107
"충청북도","충주시",2014.11,112
"충청북도","충주시",2014.12,100
"충청북도","충주시",2015.01,131
"충청북도","충주시",2015.02,107
"충청북도","충주시",2015.03,143
"충청북도","충주시",2015.04,122
"충청북도","충주시",2015.05,110
"충청북도","충주시",2015.06,133
"충청북도","충주시",2015.07,124
"충청북도","충주시",2015.08,117
"충청북도","충주시",2015.09,129
"충청북도","충주시",2015.10,109
"충청북도","충주시",2015.11,105
"충청북도","충주시",2015.12,100
"충청북도","충주시",2016.01,138
"충청북도","충주시",2016.02,128
"충청북도","충주시",2016.03,151
"충청북도","충주시",2016.04,113
"충청북도","충주시",2016.05,135
"충청북도","충주시",2016.06,109
"충청북도","충주시",2016.07,150
"충청북도","충주시",2016.08,126
"충청북도","충주시",2016.09,111
"충청북도","충주시",2016.10,92
"충청북도","충주시",2016.11,90
"충청북도","충주시",2016.12,85
"충청북도","충주시",2017.01,125
"충청북도","충주시",2017.02,105
"충청북도","충주시",2017.03,109
"충청북도","충주시",2017.04,105
"충청북도","충주시",2017.05,109
"충청북도","충주시",2017.06,108
